Account Name,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
CNN,Mon Mar 19 23:21:23 +0000 2018,RT @TheLeadCNN: We're celebrating 5 years of #TheLead with @jaketapper! Thank you to all of our viewers for watching! 📺 https://t.co/3NmZOk…,0.7772,0.285,0.715,0.0,1
CNN,Mon Mar 19 23:20:00 +0000 2018,"Trump lawyer Michael Cohen jokes about Stormy Daniels, saying he might take ""an extended vacation on her dime""; A l… https://t.co/pTf3j0iLUk",0.25,0.095,0.905,0.0,2
CNN,Mon Mar 19 23:10:06 +0000 2018,"With just days before a potential shutdown, negotiations continue on a must-pass spending bill… https://t.co/qmINUShnrI",0.0,0.0,1.0,0.0,3
CNN,Mon Mar 19 23:07:04 +0000 2018,"An anti-abortion, conservative Democrat fights for survival in the Illinois primary https://t.co/IsSkwVA69D https://t.co/3Nv9Gdt00P",-0.4019,0.0,0.816,0.184,4
CNN,Mon Mar 19 23:01:07 +0000 2018,What you need to know about Facebook's data debacle https://t.co/ngPqheWSSq https://t.co/G7X2Inay7b,0.0,0.0,1.0,0.0,5
CNN,Mon Mar 19 22:58:04 +0000 2018,The Supreme Court just gave Democrats a much better chance of retaking the House in 2018 | Analysis by @CillizzaCNN… https://t.co/ENTEP3LgMq,0.8176,0.347,0.653,0.0,6
CNN,Mon Mar 19 22:53:04 +0000 2018,"Republicans are bluntly warning President Trump to lay off his attacks on special counsel Robert Mueller, but there… https://t.co/lBBpwb5d1E",-0.2023,0.086,0.744,0.17,7
CNN,Mon Mar 19 22:45:47 +0000 2018,President Trump's lawyers recently provided the special counsel's office with documents in an attempt to limit the… https://t.co/hvD3zJposE,0.4019,0.137,0.863,0.0,8
CNN,Mon Mar 19 22:43:20 +0000 2018,"Senator Warner says it was ""more than a little bit fishy"" that former FBI Deputy Director Andrew McCabe was fired 3… https://t.co/ZD7Fqa0RWu",-0.5574,0.0,0.847,0.153,9
CNN,Mon Mar 19 22:40:07 +0000 2018,RT @CNNSitRoom: Facebook is under intense pressure to answer questions after it admitted that a company linked to President Trump's campaig…,-0.128,0.123,0.776,0.1,10
CNN,Mon Mar 19 22:39:29 +0000 2018,Rep. Adam Schiff on Trump attacking special counsel Robert Mueller on Twitter: The President seems to be testing th… https://t.co/fkEcFAG4M8,-0.0772,0.114,0.759,0.127,11
CNN,Mon Mar 19 22:35:27 +0000 2018,"RT @TheLeadCNN: ""What you have is like the ‘Survivor’ meets ‘The Apprentice’ meets ‘Game of Thrones.’ It is the most insane scenario ... th…",-0.1263,0.091,0.8,0.109,12
CNN,Mon Mar 19 22:34:14 +0000 2018,"Sen. Jeanne Shaheen: If President Trump has nothing to hide, then he should be interested in seeing this investigat… https://t.co/CwcznrIfm2",0.497,0.19,0.81,0.0,13
CNN,Mon Mar 19 22:32:12 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/FQIXvLkvWF,0.296,0.237,0.625,0.138,14
CNN,Mon Mar 19 22:29:39 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/4XVMG61Kt0,0.296,0.237,0.625,0.138,15
CNN,Mon Mar 19 22:27:31 +0000 2018,"""[Trump] has been extremely consistent. He hates this investigation,"" and ""he is scared of this investigation."" - T… https://t.co/DzZka7zHAD",-0.7239,0.0,0.725,0.275,16
CNN,Mon Mar 19 22:18:00 +0000 2018,"RT @TheLeadCNN: Austin, Texas authorities say the 4th bomb that went off overnight is the most sophisticated yet https://t.co/uqdA06osou ht…",0.1761,0.155,0.717,0.128,17
CNN,Mon Mar 19 22:16:07 +0000 2018,"US President Trump has yet to congratulate Russian President Vladimir Putin on his election, and a phone call betwe… https://t.co/WclI7Tljht",0.4939,0.151,0.849,0.0,18
CNN,Mon Mar 19 22:11:33 +0000 2018,Uber has removed its self-driving cars from the road after a self-driving Uber SUV struck and killed a pedestrian i… https://t.co/gODSZocjLN,-0.7769,0.0,0.715,0.285,19
CNN,Mon Mar 19 22:06:46 +0000 2018,"Authorities are speaking in Tempe, Arizona, about the self-driving Uber SUV that struck and killed a woman. Watch o… https://t.co/2WJR68WqSC",-0.7759,0.0,0.715,0.285,20
CNN,Mon Mar 19 23:21:23 +0000 2018,RT @TheLeadCNN: We're celebrating 5 years of #TheLead with @jaketapper! Thank you to all of our viewers for watching! 📺 https://t.co/3NmZOk…,0.7772,0.285,0.715,0.0,21
CNN,Mon Mar 19 23:20:00 +0000 2018,"Trump lawyer Michael Cohen jokes about Stormy Daniels, saying he might take ""an extended vacation on her dime""; A l… https://t.co/pTf3j0iLUk",0.25,0.095,0.905,0.0,22
CNN,Mon Mar 19 23:10:06 +0000 2018,"With just days before a potential shutdown, negotiations continue on a must-pass spending bill… https://t.co/qmINUShnrI",0.0,0.0,1.0,0.0,23
CNN,Mon Mar 19 23:07:04 +0000 2018,"An anti-abortion, conservative Democrat fights for survival in the Illinois primary https://t.co/IsSkwVA69D https://t.co/3Nv9Gdt00P",-0.4019,0.0,0.816,0.184,24
CNN,Mon Mar 19 23:01:07 +0000 2018,What you need to know about Facebook's data debacle https://t.co/ngPqheWSSq https://t.co/G7X2Inay7b,0.0,0.0,1.0,0.0,25
CNN,Mon Mar 19 22:58:04 +0000 2018,The Supreme Court just gave Democrats a much better chance of retaking the House in 2018 | Analysis by @CillizzaCNN… https://t.co/ENTEP3LgMq,0.8176,0.347,0.653,0.0,26
CNN,Mon Mar 19 22:53:04 +0000 2018,"Republicans are bluntly warning President Trump to lay off his attacks on special counsel Robert Mueller, but there… https://t.co/lBBpwb5d1E",-0.2023,0.086,0.744,0.17,27
CNN,Mon Mar 19 22:45:47 +0000 2018,President Trump's lawyers recently provided the special counsel's office with documents in an attempt to limit the… https://t.co/hvD3zJposE,0.4019,0.137,0.863,0.0,28
CNN,Mon Mar 19 22:43:20 +0000 2018,"Senator Warner says it was ""more than a little bit fishy"" that former FBI Deputy Director Andrew McCabe was fired 3… https://t.co/ZD7Fqa0RWu",-0.5574,0.0,0.847,0.153,29
CNN,Mon Mar 19 22:40:07 +0000 2018,RT @CNNSitRoom: Facebook is under intense pressure to answer questions after it admitted that a company linked to President Trump's campaig…,-0.128,0.123,0.776,0.1,30
CNN,Mon Mar 19 22:39:29 +0000 2018,Rep. Adam Schiff on Trump attacking special counsel Robert Mueller on Twitter: The President seems to be testing th… https://t.co/fkEcFAG4M8,-0.0772,0.114,0.759,0.127,31
CNN,Mon Mar 19 22:35:27 +0000 2018,"RT @TheLeadCNN: ""What you have is like the ‘Survivor’ meets ‘The Apprentice’ meets ‘Game of Thrones.’ It is the most insane scenario ... th…",-0.1263,0.091,0.8,0.109,32
CNN,Mon Mar 19 22:34:14 +0000 2018,"Sen. Jeanne Shaheen: If President Trump has nothing to hide, then he should be interested in seeing this investigat… https://t.co/CwcznrIfm2",0.497,0.19,0.81,0.0,33
CNN,Mon Mar 19 22:32:12 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/FQIXvLkvWF,0.296,0.237,0.625,0.138,34
CNN,Mon Mar 19 22:29:39 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/4XVMG61Kt0,0.296,0.237,0.625,0.138,35
CNN,Mon Mar 19 22:27:31 +0000 2018,"""[Trump] has been extremely consistent. He hates this investigation,"" and ""he is scared of this investigation."" - T… https://t.co/DzZka7zHAD",-0.7239,0.0,0.725,0.275,36
CNN,Mon Mar 19 22:18:00 +0000 2018,"RT @TheLeadCNN: Austin, Texas authorities say the 4th bomb that went off overnight is the most sophisticated yet https://t.co/uqdA06osou ht…",0.1761,0.155,0.717,0.128,37
CNN,Mon Mar 19 22:16:07 +0000 2018,"US President Trump has yet to congratulate Russian President Vladimir Putin on his election, and a phone call betwe… https://t.co/WclI7Tljht",0.4939,0.151,0.849,0.0,38
CNN,Mon Mar 19 22:11:33 +0000 2018,Uber has removed its self-driving cars from the road after a self-driving Uber SUV struck and killed a pedestrian i… https://t.co/gODSZocjLN,-0.7769,0.0,0.715,0.285,39
CNN,Mon Mar 19 22:06:46 +0000 2018,"Authorities are speaking in Tempe, Arizona, about the self-driving Uber SUV that struck and killed a woman. Watch o… https://t.co/2WJR68WqSC",-0.7759,0.0,0.715,0.285,40
CNN,Mon Mar 19 23:21:23 +0000 2018,RT @TheLeadCNN: We're celebrating 5 years of #TheLead with @jaketapper! Thank you to all of our viewers for watching! 📺 https://t.co/3NmZOk…,0.7772,0.285,0.715,0.0,41
CNN,Mon Mar 19 23:20:00 +0000 2018,"Trump lawyer Michael Cohen jokes about Stormy Daniels, saying he might take ""an extended vacation on her dime""; A l… https://t.co/pTf3j0iLUk",0.25,0.095,0.905,0.0,42
CNN,Mon Mar 19 23:10:06 +0000 2018,"With just days before a potential shutdown, negotiations continue on a must-pass spending bill… https://t.co/qmINUShnrI",0.0,0.0,1.0,0.0,43
CNN,Mon Mar 19 23:07:04 +0000 2018,"An anti-abortion, conservative Democrat fights for survival in the Illinois primary https://t.co/IsSkwVA69D https://t.co/3Nv9Gdt00P",-0.4019,0.0,0.816,0.184,44
CNN,Mon Mar 19 23:01:07 +0000 2018,What you need to know about Facebook's data debacle https://t.co/ngPqheWSSq https://t.co/G7X2Inay7b,0.0,0.0,1.0,0.0,45
CNN,Mon Mar 19 22:58:04 +0000 2018,The Supreme Court just gave Democrats a much better chance of retaking the House in 2018 | Analysis by @CillizzaCNN… https://t.co/ENTEP3LgMq,0.8176,0.347,0.653,0.0,46
CNN,Mon Mar 19 22:53:04 +0000 2018,"Republicans are bluntly warning President Trump to lay off his attacks on special counsel Robert Mueller, but there… https://t.co/lBBpwb5d1E",-0.2023,0.086,0.744,0.17,47
CNN,Mon Mar 19 22:45:47 +0000 2018,President Trump's lawyers recently provided the special counsel's office with documents in an attempt to limit the… https://t.co/hvD3zJposE,0.4019,0.137,0.863,0.0,48
CNN,Mon Mar 19 22:43:20 +0000 2018,"Senator Warner says it was ""more than a little bit fishy"" that former FBI Deputy Director Andrew McCabe was fired 3… https://t.co/ZD7Fqa0RWu",-0.5574,0.0,0.847,0.153,49
CNN,Mon Mar 19 22:40:07 +0000 2018,RT @CNNSitRoom: Facebook is under intense pressure to answer questions after it admitted that a company linked to President Trump's campaig…,-0.128,0.123,0.776,0.1,50
CNN,Mon Mar 19 22:39:29 +0000 2018,Rep. Adam Schiff on Trump attacking special counsel Robert Mueller on Twitter: The President seems to be testing th… https://t.co/fkEcFAG4M8,-0.0772,0.114,0.759,0.127,51
CNN,Mon Mar 19 22:35:27 +0000 2018,"RT @TheLeadCNN: ""What you have is like the ‘Survivor’ meets ‘The Apprentice’ meets ‘Game of Thrones.’ It is the most insane scenario ... th…",-0.1263,0.091,0.8,0.109,52
CNN,Mon Mar 19 22:34:14 +0000 2018,"Sen. Jeanne Shaheen: If President Trump has nothing to hide, then he should be interested in seeing this investigat… https://t.co/CwcznrIfm2",0.497,0.19,0.81,0.0,53
CNN,Mon Mar 19 22:32:12 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/FQIXvLkvWF,0.296,0.237,0.625,0.138,54
CNN,Mon Mar 19 22:29:39 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/4XVMG61Kt0,0.296,0.237,0.625,0.138,55
CNN,Mon Mar 19 22:27:31 +0000 2018,"""[Trump] has been extremely consistent. He hates this investigation,"" and ""he is scared of this investigation."" - T… https://t.co/DzZka7zHAD",-0.7239,0.0,0.725,0.275,56
CNN,Mon Mar 19 22:18:00 +0000 2018,"RT @TheLeadCNN: Austin, Texas authorities say the 4th bomb that went off overnight is the most sophisticated yet https://t.co/uqdA06osou ht…",0.1761,0.155,0.717,0.128,57
CNN,Mon Mar 19 22:16:07 +0000 2018,"US President Trump has yet to congratulate Russian President Vladimir Putin on his election, and a phone call betwe… https://t.co/WclI7Tljht",0.4939,0.151,0.849,0.0,58
CNN,Mon Mar 19 22:11:33 +0000 2018,Uber has removed its self-driving cars from the road after a self-driving Uber SUV struck and killed a pedestrian i… https://t.co/gODSZocjLN,-0.7769,0.0,0.715,0.285,59
CNN,Mon Mar 19 22:06:46 +0000 2018,"Authorities are speaking in Tempe, Arizona, about the self-driving Uber SUV that struck and killed a woman. Watch o… https://t.co/2WJR68WqSC",-0.7759,0.0,0.715,0.285,60
CNN,Mon Mar 19 23:21:23 +0000 2018,RT @TheLeadCNN: We're celebrating 5 years of #TheLead with @jaketapper! Thank you to all of our viewers for watching! 📺 https://t.co/3NmZOk…,0.7772,0.285,0.715,0.0,61
CNN,Mon Mar 19 23:20:00 +0000 2018,"Trump lawyer Michael Cohen jokes about Stormy Daniels, saying he might take ""an extended vacation on her dime""; A l… https://t.co/pTf3j0iLUk",0.25,0.095,0.905,0.0,62
CNN,Mon Mar 19 23:10:06 +0000 2018,"With just days before a potential shutdown, negotiations continue on a must-pass spending bill… https://t.co/qmINUShnrI",0.0,0.0,1.0,0.0,63
CNN,Mon Mar 19 23:07:04 +0000 2018,"An anti-abortion, conservative Democrat fights for survival in the Illinois primary https://t.co/IsSkwVA69D https://t.co/3Nv9Gdt00P",-0.4019,0.0,0.816,0.184,64
CNN,Mon Mar 19 23:01:07 +0000 2018,What you need to know about Facebook's data debacle https://t.co/ngPqheWSSq https://t.co/G7X2Inay7b,0.0,0.0,1.0,0.0,65
CNN,Mon Mar 19 22:58:04 +0000 2018,The Supreme Court just gave Democrats a much better chance of retaking the House in 2018 | Analysis by @CillizzaCNN… https://t.co/ENTEP3LgMq,0.8176,0.347,0.653,0.0,66
CNN,Mon Mar 19 22:53:04 +0000 2018,"Republicans are bluntly warning President Trump to lay off his attacks on special counsel Robert Mueller, but there… https://t.co/lBBpwb5d1E",-0.2023,0.086,0.744,0.17,67
CNN,Mon Mar 19 22:45:47 +0000 2018,President Trump's lawyers recently provided the special counsel's office with documents in an attempt to limit the… https://t.co/hvD3zJposE,0.4019,0.137,0.863,0.0,68
CNN,Mon Mar 19 22:43:20 +0000 2018,"Senator Warner says it was ""more than a little bit fishy"" that former FBI Deputy Director Andrew McCabe was fired 3… https://t.co/ZD7Fqa0RWu",-0.5574,0.0,0.847,0.153,69
CNN,Mon Mar 19 22:40:07 +0000 2018,RT @CNNSitRoom: Facebook is under intense pressure to answer questions after it admitted that a company linked to President Trump's campaig…,-0.128,0.123,0.776,0.1,70
CNN,Mon Mar 19 22:39:29 +0000 2018,Rep. Adam Schiff on Trump attacking special counsel Robert Mueller on Twitter: The President seems to be testing th… https://t.co/fkEcFAG4M8,-0.0772,0.114,0.759,0.127,71
CNN,Mon Mar 19 22:35:27 +0000 2018,"RT @TheLeadCNN: ""What you have is like the ‘Survivor’ meets ‘The Apprentice’ meets ‘Game of Thrones.’ It is the most insane scenario ... th…",-0.1263,0.091,0.8,0.109,72
CNN,Mon Mar 19 22:34:14 +0000 2018,"Sen. Jeanne Shaheen: If President Trump has nothing to hide, then he should be interested in seeing this investigat… https://t.co/CwcznrIfm2",0.497,0.19,0.81,0.0,73
CNN,Mon Mar 19 22:32:12 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/FQIXvLkvWF,0.296,0.237,0.625,0.138,74
CNN,Mon Mar 19 22:29:39 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/4XVMG61Kt0,0.296,0.237,0.625,0.138,75
CNN,Mon Mar 19 22:27:31 +0000 2018,"""[Trump] has been extremely consistent. He hates this investigation,"" and ""he is scared of this investigation."" - T… https://t.co/DzZka7zHAD",-0.7239,0.0,0.725,0.275,76
CNN,Mon Mar 19 22:18:00 +0000 2018,"RT @TheLeadCNN: Austin, Texas authorities say the 4th bomb that went off overnight is the most sophisticated yet https://t.co/uqdA06osou ht…",0.1761,0.155,0.717,0.128,77
CNN,Mon Mar 19 22:16:07 +0000 2018,"US President Trump has yet to congratulate Russian President Vladimir Putin on his election, and a phone call betwe… https://t.co/WclI7Tljht",0.4939,0.151,0.849,0.0,78
CNN,Mon Mar 19 22:11:33 +0000 2018,Uber has removed its self-driving cars from the road after a self-driving Uber SUV struck and killed a pedestrian i… https://t.co/gODSZocjLN,-0.7769,0.0,0.715,0.285,79
CNN,Mon Mar 19 22:06:46 +0000 2018,"Authorities are speaking in Tempe, Arizona, about the self-driving Uber SUV that struck and killed a woman. Watch o… https://t.co/2WJR68WqSC",-0.7759,0.0,0.715,0.285,80
CNN,Mon Mar 19 23:21:23 +0000 2018,RT @TheLeadCNN: We're celebrating 5 years of #TheLead with @jaketapper! Thank you to all of our viewers for watching! 📺 https://t.co/3NmZOk…,0.7772,0.285,0.715,0.0,81
CNN,Mon Mar 19 23:20:00 +0000 2018,"Trump lawyer Michael Cohen jokes about Stormy Daniels, saying he might take ""an extended vacation on her dime""; A l… https://t.co/pTf3j0iLUk",0.25,0.095,0.905,0.0,82
CNN,Mon Mar 19 23:10:06 +0000 2018,"With just days before a potential shutdown, negotiations continue on a must-pass spending bill… https://t.co/qmINUShnrI",0.0,0.0,1.0,0.0,83
CNN,Mon Mar 19 23:07:04 +0000 2018,"An anti-abortion, conservative Democrat fights for survival in the Illinois primary https://t.co/IsSkwVA69D https://t.co/3Nv9Gdt00P",-0.4019,0.0,0.816,0.184,84
CNN,Mon Mar 19 23:01:07 +0000 2018,What you need to know about Facebook's data debacle https://t.co/ngPqheWSSq https://t.co/G7X2Inay7b,0.0,0.0,1.0,0.0,85
CNN,Mon Mar 19 22:58:04 +0000 2018,The Supreme Court just gave Democrats a much better chance of retaking the House in 2018 | Analysis by @CillizzaCNN… https://t.co/ENTEP3LgMq,0.8176,0.347,0.653,0.0,86
CNN,Mon Mar 19 22:53:04 +0000 2018,"Republicans are bluntly warning President Trump to lay off his attacks on special counsel Robert Mueller, but there… https://t.co/lBBpwb5d1E",-0.2023,0.086,0.744,0.17,87
CNN,Mon Mar 19 22:45:47 +0000 2018,President Trump's lawyers recently provided the special counsel's office with documents in an attempt to limit the… https://t.co/hvD3zJposE,0.4019,0.137,0.863,0.0,88
CNN,Mon Mar 19 22:43:20 +0000 2018,"Senator Warner says it was ""more than a little bit fishy"" that former FBI Deputy Director Andrew McCabe was fired 3… https://t.co/ZD7Fqa0RWu",-0.5574,0.0,0.847,0.153,89
CNN,Mon Mar 19 22:40:07 +0000 2018,RT @CNNSitRoom: Facebook is under intense pressure to answer questions after it admitted that a company linked to President Trump's campaig…,-0.128,0.123,0.776,0.1,90
CNN,Mon Mar 19 22:39:29 +0000 2018,Rep. Adam Schiff on Trump attacking special counsel Robert Mueller on Twitter: The President seems to be testing th… https://t.co/fkEcFAG4M8,-0.0772,0.114,0.759,0.127,91
CNN,Mon Mar 19 22:35:27 +0000 2018,"RT @TheLeadCNN: ""What you have is like the ‘Survivor’ meets ‘The Apprentice’ meets ‘Game of Thrones.’ It is the most insane scenario ... th…",-0.1263,0.091,0.8,0.109,92
CNN,Mon Mar 19 22:34:14 +0000 2018,"Sen. Jeanne Shaheen: If President Trump has nothing to hide, then he should be interested in seeing this investigat… https://t.co/CwcznrIfm2",0.497,0.19,0.81,0.0,93
CNN,Mon Mar 19 22:32:12 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/FQIXvLkvWF,0.296,0.237,0.625,0.138,94
CNN,Mon Mar 19 22:29:39 +0000 2018,Sen. Jeanne Shaheen: I’ve been disappointed more Republican lawmakers aren’t speaking out to protect special counse… https://t.co/4XVMG61Kt0,0.296,0.237,0.625,0.138,95
CNN,Mon Mar 19 22:27:31 +0000 2018,"""[Trump] has been extremely consistent. He hates this investigation,"" and ""he is scared of this investigation."" - T… https://t.co/DzZka7zHAD",-0.7239,0.0,0.725,0.275,96
CNN,Mon Mar 19 22:18:00 +0000 2018,"RT @TheLeadCNN: Austin, Texas authorities say the 4th bomb that went off overnight is the most sophisticated yet https://t.co/uqdA06osou ht…",0.1761,0.155,0.717,0.128,97
CNN,Mon Mar 19 22:16:07 +0000 2018,"US President Trump has yet to congratulate Russian President Vladimir Putin on his election, and a phone call betwe… https://t.co/WclI7Tljht",0.4939,0.151,0.849,0.0,98
CNN,Mon Mar 19 22:11:33 +0000 2018,Uber has removed its self-driving cars from the road after a self-driving Uber SUV struck and killed a pedestrian i… https://t.co/gODSZocjLN,-0.7769,0.0,0.715,0.285,99
CNN,Mon Mar 19 22:06:46 +0000 2018,"Authorities are speaking in Tempe, Arizona, about the self-driving Uber SUV that struck and killed a woman. Watch o… https://t.co/2WJR68WqSC",-0.7759,0.0,0.715,0.285,100
The New York Times,Mon Mar 19 23:17:05 +0000 2018,"RT @KevinQ: The worst places for poor white children are almost all better than the best places for poor black children.

https://t.co/EPZt…",-0.539,0.2,0.498,0.302,1
The New York Times,Mon Mar 19 23:02:04 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/tQvejB0Xpm,0.0,0.0,1.0,0.0,2
The New York Times,Mon Mar 19 22:44:07 +0000 2018,RT @nicoleperlroth: NEW: Facebook's security officer @alexstamos is leaving the company amid disagreements with Facebook execs over how to…,-0.1027,0.108,0.766,0.126,3
The New York Times,Mon Mar 19 22:34:00 +0000 2018,Alex Stamos is said to be leaving Facebook after internal disagreements over how the social network should deal wit… https://t.co/2tbsL4WojM,-0.4215,0.0,0.872,0.128,4
The New York Times,Mon Mar 19 22:24:55 +0000 2018,Breaking News: A Facebook executive who urged transparency on Russian disinformation is said to be leaving after cl… https://t.co/iFVb6BY6j7,0.0,0.0,1.0,0.0,5
The New York Times,Mon Mar 19 22:17:03 +0000 2018,"RT @UpshotNYT: The Supreme Court today refused to Intervene in the Pa. redistricting case. That means these districts are holding up, and D…",0.34,0.134,0.784,0.082,6
The New York Times,Mon Mar 19 22:02:07 +0000 2018,Photographers find new ways to frame the natural world https://t.co/dSKQ3jE90n https://t.co/2oMSS8Vyi9,0.3612,0.2,0.8,0.0,7
The New York Times,Mon Mar 19 21:47:01 +0000 2018,"RT @julieturkewitz: Tweeting some of the reaction to our story today: ""I have long thought the absence of Native Americans from any form of…",0.0,0.0,1.0,0.0,8
The New York Times,Mon Mar 19 21:32:07 +0000 2018,"Al Pacino and Michelle Pfeiffer will reunite for a 35th anniversary screening of ""Scarface"" at the Tribeca Film Fes… https://t.co/CHjotO0oT8",0.0,0.0,1.0,0.0,9
The New York Times,Mon Mar 19 21:20:10 +0000 2018,"“Send some girls around to the candidate’s house.”

As part of a monthslong investigation into Cambridge Analytica,… https://t.co/YP7xSJ59Gx",0.0,0.0,1.0,0.0,10
The New York Times,Mon Mar 19 21:10:05 +0000 2018,RT @readercenter: A @nytimes article published today on race and the income gap led to a big discussion among our readers. Submit a questio…,0.0,0.0,1.0,0.0,11
The New York Times,Mon Mar 19 21:00:21 +0000 2018,"Catharine MacKinnon: ""People have asked me for 40 years how not to get sued for sexual harassment. Well, a good fir… https://t.co/aiuh7NXSzK",0.128,0.189,0.679,0.132,12
The New York Times,Mon Mar 19 20:50:06 +0000 2018,"Justin Verlander brought value to the Astros last season, when he joined in a trade and helped them win the World S… https://t.co/8yl93W3HoA",0.7351,0.237,0.763,0.0,13
The New York Times,Mon Mar 19 20:40:10 +0000 2018,“Everyone in Austin is in the process of trying to figure out exactly how nervous to be. Are these bombings targete… https://t.co/5Pg0Ep4PRR,-0.2732,0.0,0.909,0.091,14
The New York Times,Mon Mar 19 20:33:00 +0000 2018,Read our report on how servers and bartenders weigh harassing behavior from customers against the tips they need to… https://t.co/N9dFagqWIa,-0.5423,0.0,0.844,0.156,15
The New York Times,Mon Mar 19 20:30:18 +0000 2018,"Our report on the sexual harassment endured by restaurant servers drew 1,200 responses from readers: on money, powe… https://t.co/VnCiSwIYgy",-0.5423,0.0,0.837,0.163,16
The New York Times,Mon Mar 19 20:20:07 +0000 2018,RT @nytimestravel: Do you see Wakanda as a series of magical neighborhoods floating in midair? Would the magnetic levitation subway in trav…,0.0,0.0,1.0,0.0,17
The New York Times,Mon Mar 19 20:17:56 +0000 2018,"“Send some girls around to the candidate’s house”: As part of a monthslong investigation into Cambridge Analytica,… https://t.co/FMEWKpKCUa",0.0,0.0,1.0,0.0,18
The New York Times,Mon Mar 19 20:14:53 +0000 2018,"However, the firm’s employees, who often overlap, had contact in 2014 and 2015 with executives from Lukoil, the Rus… https://t.co/8Q90TwYuIH",0.0,0.0,1.0,0.0,19
The New York Times,Mon Mar 19 20:13:08 +0000 2018,"Alexander Nix, a director of SCL Group, a British political and defense contractor, and chief executive of its Amer… https://t.co/CZMF8buD3n",0.128,0.081,0.919,0.0,20
The New York Times,Mon Mar 19 23:17:05 +0000 2018,"RT @KevinQ: The worst places for poor white children are almost all better than the best places for poor black children.

https://t.co/EPZt…",-0.539,0.2,0.498,0.302,21
The New York Times,Mon Mar 19 23:02:04 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/tQvejB0Xpm,0.0,0.0,1.0,0.0,22
